"","IDG_RIUU","COD_PLAN","PAPA_tot","TOT_CREDITOS","NO_MATRICULAS","CREDITOS_AP","AVANCE","PROM_AVANCE","NO_PERDIDAS","ACTIVO"
"77","011252513","2513",3.74878048780488,41,2,41,25.15,12.57,0,0
"78","011262513","2513",4.07674418604651,43,3,43,26.38,8.79,0,0
"79","011302513","2513",3.56129032258065,62,4,46,28.22,7.06,4,0
"80","011322513","2513",5,8,1,8,4.91,4.91,0,0
"81","011332513","2513",4.47142857142857,14,1,14,8.59,8.59,0,0
"82","011342513","2513",3.80882352941176,34,2,27,16.56,8.28,2,0
"83","011382513","2513",4.2,8,1,8,4.91,4.91,0,0
"84","011392513","2513",4.06666666666667,12,1,12,7.36,7.36,0,0
"85","011412513","2513",3.41739130434783,23,2,19,11.66,5.83,1,0
"86","011422513","2513",4.04,20,2,20,12.27,6.14,0,0
"87","011432513","2513",4.8,8,1,8,4.91,4.91,0,0
"88","011452513","2513",3.93333333333333,12,1,12,7.36,7.36,0,0
"89","011472513","2513",5,8,1,8,4.91,4.91,0,0
"90","011482513","2513",3.52301587301587,126,11,103,63.19,5.74,7,0
"91","011492513","2513",4.55909090909091,22,2,22,13.5,6.75,0,0
"92","011522513","2513",4.6,20,1,20,12.27,12.27,0,0
"93","011572513","2513",4.78333333333333,18,2,18,11.04,5.52,0,0
"94","011582513","2513",4.35116279069767,43,3,43,26.38,8.79,0,0
"95","011592513","2513",4.18333333333333,24,2,24,14.72,7.36,0,0
"96","011642513","2513",4.3,14,1,14,8.59,8.59,0,0
"97","011662513","2513",3.76904761904762,42,2,38,23.31,11.65,1,0
"98","011682513","2513",4.54,15,2,15,9.2,4.6,0,0
"99","011692513","2513",4.12708333333333,48,5,48,29.45,5.89,0,0
"100","011702513","2513",5,12,1,12,7.36,7.36,0,0
"101","011712513","2513",2.5780487804878,41,4,21,12.88,3.22,5,0
"102","011732513","2513",4.27222222222222,36,3,32,19.63,6.54,1,0
"103","011742513","2513",4.09285714285714,14,1,14,8.59,8.59,0,0
"104","011752513","2513",4.5,8,1,8,4.91,4.91,0,0
"105","011772513","2513",3.98421052631579,19,2,19,11.66,5.83,0,0
"106","011782513","2513",4.29473684210526,19,2,19,11.66,5.83,0,0
"107","011812513","2513",3.32727272727273,11,1,11,6.75,6.75,0,0
"108","011822513","2513",3.69264705882353,68,5,60,36.81,7.36,2,0
"109","011842513","2513",4.69333333333333,15,1,15,9.2,9.2,0,0
"110","011882513","2513",4.02,50,5,46,28.22,5.64,1,0
"111","011892513","2513",3.92,20,1,20,12.27,12.27,0,0
"112","011902513","2513",4.5,27,2,27,16.56,8.28,0,0
"113","011922513","2513",4.3,18,2,18,11.04,5.52,0,0
"114","011942513","2513",3.77333333333333,45,3,45,27.61,9.2,0,0
"115","011952513","2513",3.61944444444444,72,5,68,41.72,8.34,1,0
"116","011982513","2513",4.156,25,2,25,15.34,7.67,0,0
"117","012002513","2513",3.75272727272727,55,4,55,33.74,8.44,0,0
"118","012012513","2513",3.85614035087719,57,4,54,33.13,8.28,1,0
"119","012042513","2513",5,12,1,12,7.36,7.36,0,0
"120","012062513","2513",4.47142857142857,14,1,14,8.59,8.59,0,0
"121","012082513","2513",4.61052631578947,19,1,19,11.66,11.66,0,0
"122","012102513","2513",3.86909090909091,55,5,43,26.38,5.28,3,0
"123","012112513","2513",3.89824561403509,57,4,57,34.97,8.74,0,0
"124","012142513","2513",3.64020618556701,97,7,91,55.83,7.98,2,0
"125","012162513","2513",4.46296296296296,27,2,27,16.56,8.28,0,0
"126","012182513","2513",3.9025974025974,77,6,73,44.79,7.46,1,0
"127","012192513","2513",3.85945945945946,37,2,33,20.25,10.12,1,0
"128","012202513","2513",3.59494949494949,99,8,76,46.63,5.83,5,0
"129","012212513","2513",4.05862068965517,58,5,58,35.58,7.12,0,0
"130","012242513","2513",3.64029850746269,67,4,64,39.26,9.81,1,0
"131","012252513","2513",4.45,36,2,36,22.09,11.04,0,0
"132","012262513","2513",4.475,16,2,16,9.82,4.91,0,0
"133","012272513","2513",4.09333333333333,60,4,60,36.81,9.2,0,0
"134","012282513","2513",3.58307692307692,65,5,51,31.29,6.26,4,0
"135","012292513","2513",3.96666666666667,12,1,12,7.36,7.36,0,0
"136","012302513","2513",4.52692307692308,26,2,26,15.95,7.97,0,0
"137","012312513","2513",3.72179487179487,78,5,71,43.56,8.71,2,0
"138","012322513","2513",3.61707317073171,41,4,37,22.7,5.68,1,0
"139","012352513","2513",3.82173913043478,92,7,86,52.76,7.54,2,0
"140","012362513","2513",4.41111111111111,18,2,18,11.04,5.52,0,0
"141","012372513","2513",4.3,16,1,16,9.82,9.82,0,0
"142","012382513","2513",3.31111111111111,108,8,83,50.92,6.36,7,0
"143","012392513","2513",3.20617283950617,81,6,58,35.58,5.93,6,0
"144","012402513","2513",3.85526315789474,76,7,76,46.63,6.66,0,0
"145","012412513","2513",2.94285714285714,63,9,46,28.22,3.14,5,1
"146","012422513","2513",4.1,41,3,41,25.15,8.38,0,0
"147","012452513","2513",3.11219512195122,82,7,51,31.29,4.47,9,0
"148","012502513","2513",3.87837837837838,74,5,71,43.56,8.71,1,0
"149","012512513","2513",3.96842105263158,76,5,71,43.56,8.71,2,0
"150","012532513","2513",4.52222222222222,45,4,45,27.61,6.9,0,0
"151","012542513","2513",4.32413793103448,29,2,29,17.79,8.89,0,0
"152","012552513","2513",3.49230769230769,39,3,35,21.47,7.16,1,0
"153","012562513","2513",2.96,45,3,25,15.34,5.11,6,0
"154","012572513","2513",3.6,42,4,35,21.47,5.37,2,0
"155","012602513","2513",4.47857142857143,42,3,42,25.77,8.59,0,0
"156","012612513","2513",3.80606060606061,66,5,60,36.81,7.36,2,0
"157","012622513","2513",3.80833333333333,60,4,56,34.36,8.59,1,0
"158","012652513","2513",4.19,30,3,30,18.4,6.13,0,0
"159","012672513","2513",4.05882352941176,34,2,30,18.4,9.2,1,0
"160","012682513","2513",3.66875,48,4,48,29.45,7.36,0,0
"161","012702513","2513",4.13636363636364,33,2,33,20.25,10.12,0,0
"162","012712513","2513",4.275,32,2,32,19.63,9.81,0,0
"163","012742513","2513",3.68125,48,3,40,24.54,8.18,2,0
"164","012772513","2513",4.36451612903226,31,3,31,19.02,6.34,0,0
"165","012782513","2513",4.34193548387097,31,2,31,19.02,9.51,0,0
"166","012822513","2513",3.38048780487805,82,6,59,36.2,6.03,5,0
"167","012842513","2513",4.41315789473684,38,3,38,23.31,7.77,0,0
"168","012872513","2513",4.78928571428571,28,2,28,17.18,8.59,0,0
"169","012902513","2513",3.61454545454545,55,3,51,31.29,10.43,1,0
"170","012932513","2513",4.11224489795918,49,3,49,30.06,10.02,0,0
"171","012942513","2513",3.9,13,1,13,7.98,7.98,0,0
"172","013002513","2513",4.80909090909091,11,1,11,6.75,6.75,0,0
"173","013012513","2513",4.525,16,1,16,9.82,9.82,0,0
"174","013062513","2513",3.295,80,6,66,40.49,6.75,4,0
"175","013082513","2513",3.62352941176471,34,3,34,20.86,6.95,0,0
"176","013092513","2513",4.83333333333333,24,3,24,14.72,4.91,0,0
"177","013102513","2513",4.38055555555556,36,3,36,22.09,7.36,0,0
"178","013142513","2513",3.70816326530612,49,3,49,30.06,10.02,0,0
"179","013152513","2513",4.09166666666667,36,2,33,20.25,10.12,1,0
"180","013162513","2513",4.13636363636364,66,4,66,40.49,10.12,0,0
"181","013172513","2513",3.3039603960396,101,8,77,47.24,5.9,7,0
"182","013182513","2513",3.90491803278689,61,7,58,35.58,5.08,1,0
"183","013192513","2513",3.69574468085106,47,4,36,22.09,5.52,3,0
"184","013222513","2513",4.2,28,2,28,17.18,8.59,0,0
"185","013232513","2513",4.13409090909091,44,3,44,26.99,9,0,0
"186","013252513","2513",4.31428571428571,28,2,28,17.18,8.59,0,0
"187","013282513","2513",4.16851851851852,54,4,54,33.13,8.28,0,0
"188","013292513","2513",4.78260869565217,23,2,23,14.11,7.06,0,0
"189","013302513","2513",4.28529411764706,34,3,34,20.86,6.95,0,0
"190","013332513","2513",4.27916666666667,24,2,24,14.72,7.36,0,0
